"filename", "language", "JSON", "TypeScript", "TypeScript JSX", "JSON with Comments", "XML", "Markdown", "JavaScript", "WebAssembly Text Format", "HTML", "Prisma", "CSS", "Properties", "comment", "blank", "total"
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\selector\change-selector-value.tsx", "TypeScript JSX", 0, 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 167
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\selector\delete-selector-btn.tsx", "TypeScript JSX", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 98
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\selector\delete-selector-value-btn.tsx", "TypeScript JSX", 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 136
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\selector\delete-visibility-condition-btn.tsx", "TypeScript JSX", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 88
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\selector\edit-selector-form.tsx", "TypeScript JSX", 0, 0, 226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19, 247
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\selector\edit-selector-value-form.tsx", "TypeScript JSX", 0, 0, 349, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29, 380
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\selector\edit-visibility-condition-btn.tsx", "TypeScript JSX", 0, 0, 403, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24, 432
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\selector\reorder-select-value-btn.tsx", "TypeScript JSX", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 109
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\selector\selector-change\delete-selector-option-change.tsx", "TypeScript JSX", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 95
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\selector\selector-change\edit-selector-option-change.tsx", "TypeScript JSX", 0, 0, 607, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31, 640
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\selector\selector-change\new-selector-change-btn.tsx", "TypeScript JSX", 0, 0, 568, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27, 599
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\selector\selector-change\view-selector-change.tsx", "TypeScript JSX", 0, 0, 371, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 395
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\selector\selector-value-list.tsx", "TypeScript JSX", 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17, 174
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\selector\view-visibility-condition.tsx", "TypeScript JSX", 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 168
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\categoria\variante\selector\visibility-condition.tsx", "TypeScript JSX", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 58
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\category-column.tsx", "TypeScript JSX", 0, 0, 232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 239
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\delete-rimorchio-btn.tsx", "TypeScript JSX", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 80
"c:\Users\giaco\Desktop\Sviluppo web\Ruetta\ruetta-website\components\admin\rimorchi\rimorchio\edit-rimorchio.tsx", "TypeScript JSX", 0, 0, 264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19, 286
